,Date,OpenCL,HighCL,LowCL,CloseCL,OpenDA,HighDA,LowDA,CloseDA,delta_C,delta_D,delta_C_squared,delta_D_squared,lag_delta_C_squared,lag_delta_D_squared,lag2_delta_C_squared,lag2_delta_D_squared,lag3_delta_C_squared,lag3_delta_D_squared,lag4_delta_C_squared,lag4_delta_D_squared,lag_delta_C,lag_delta_D
20,4/21/2014,104.5400009,104.7699966,103.8499985,104.3700027,33.58000183,34.08000183,33.25,33.93999863,-0.169998169,0.359996796,0.028899377,0.129597693,0.211606177,0.022499313,0,1.959993591,0.022500458,0.012100134,0.240105383,1.276902414,0.460006714,0.149997711
21,4/22/2014,104.3600006,104.3600006,101.6900024,102.1299973,34.18000031,35.25,34.16999817,34.95000076,-2.230003357,0.770000458,4.972914972,0.592900705,0.028899377,0.129597693,0.211606177,0.022499313,0,1.959993591,0.022500458,0.012100134,-0.169998169,0.359996796
22,4/23/2014,101.8600006,102.0800018,101.1999969,101.4400024,36.86999893,37.40999985,36,37.09000015,-0.419998169,0.220001221,0.176398462,0.048400537,4.972914972,0.592900705,0.028899377,0.129597693,0.211606177,0.022499313,0,1.959993591,-2.230003357,0.770000458
23,4/24/2014,101.5400009,102.3499985,101.4000015,101.9400024,37.15000153,37.47000122,36.33000183,36.72999954,0.400001526,-0.420001984,0.160001221,0.176401666,0.176398462,0.048400537,4.972914972,0.592900705,0.028899377,0.129597693,0.211606177,0.022499313,-0.419998169,0.220001221
24,4/25/2014,101.9300003,102.0500031,100.4800034,100.5999985,36.5,36.61000061,35.77999878,36.06999969,-1.330001831,-0.430000305,1.768904871,0.184900262,0.160001221,0.176401666,0.176398462,0.048400537,4.972914972,0.592900705,0.028899377,0.129597693,0.400001526,-0.420001984
25,4/28/2014,100.4899979,101.5199966,100.3300018,100.8399963,36.20000076,36.66999817,35.13000107,35.84000015,0.349998474,-0.36000061,0.122498932,0.129600439,1.768904871,0.184900262,0.160001221,0.176401666,0.176398462,0.048400537,4.972914972,0.592900705,-1.330001831,-0.430000305
26,4/29/2014,100.8899994,102.1999969,100.7099991,101.2799988,36.02000046,36.75,35.86999893,36.74000168,0.38999939,0.720001221,0.152099524,0.518401758,0.122498932,0.129600439,1.768904871,0.184900262,0.160001221,0.176401666,0.176398462,0.048400537,0.349998474,-0.36000061
27,4/30/2014,100.7600021,100.7600021,99.34999847,99.73999786,36.81000137,37.18000031,36.29999924,36.83000183,-1.020004272,0.020000458,1.040408716,0.000400018,0.152099524,0.518401758,0.122498932,0.129600439,1.768904871,0.184900262,0.160001221,0.176401666,0.38999939,0.720001221
28,5/1/2014,99.72000122,99.88999939,98.73999786,99.41999817,37,37.52999878,36.97000122,37.11999893,-0.300003052,0.119998932,0.090001831,0.014399744,1.040408716,0.000400018,0.152099524,0.518401758,0.122498932,0.129600439,1.768904871,0.184900262,-1.020004272,0.020000458
29,5/2/2014,99.16999817,100.1399994,99.16999817,99.76000214,37.11000061,37.47000122,36.56000137,37.22999954,0.590003967,0.119998932,0.348104681,0.014399744,0.090001831,0.014399744,1.040408716,0.000400018,0.152099524,0.518401758,0.122498932,0.129600439,-0.300003052,0.119998932
30,5/5/2014,99.95999908,100.4400024,98.91000366,99.48000336,37.00999832,37.70000076,36.63000107,37.54999924,-0.479995728,0.540000916,0.230395898,0.291600989,0.348104681,0.014399744,0.090001831,0.014399744,1.040408716,0.000400018,0.152099524,0.518401758,0.590003967,0.119998932
31,5/6/2014,99.37999725,100.4199982,99.31999969,99.5,38.45000076,38.81999969,37.45999908,37.68999863,0.120002747,-0.760002136,0.014400659,0.577603247,0.230395898,0.291600989,0.348104681,0.014399744,0.090001831,0.014399744,1.040408716,0.000400018,-0.479995728,0.540000916
32,5/7/2014,99.83000183,100.9899979,99.77999878,100.7699966,37.81000137,38.25999832,37.31000137,38.24000168,0.939994812,0.430000305,0.883590247,0.184900262,0.014400659,0.577603247,0.230395898,0.291600989,0.348104681,0.014399744,0.090001831,0.014399744,0.120002747,-0.760002136
33,5/8/2014,100.8199997,100.9300003,99.87000275,100.2600021,38.06999969,38.58000183,37.5,37.70000076,-0.559997559,-0.369998932,0.313597266,0.13689921,0.883590247,0.184900262,0.014400659,0.577603247,0.230395898,0.291600989,0.348104681,0.014399744,0.939994812,0.430000305
34,5/9/2014,100.2699966,101.1800003,99.70999908,99.98999786,37.81999969,37.81999969,36.95000076,37.66999817,-0.279998779,-0.150001526,0.078399316,0.022500458,0.313597266,0.13689921,0.883590247,0.184900262,0.014400659,0.577603247,0.230395898,0.291600989,-0.559997559,-0.369998932
